 x , Cluster6 , Cluster5 , Cluster4 , Cluster3 , Cluster2 , Cluster1 
0.4,0.158308628,0.157479162,0.090033186,0.089050671,0.038462074,0.010288086
0.4025,0.165897316,0.147681679,0.09309187,0.074565263,0.040889475,0.013935987
0.405,0.170530641,0.145007765,0.096157738,0.079316489,0.042828424,0.016976912
0.4075,0.173405084,0.147026709,0.099317717,0.085662525,0.04447761,0.019491514
0.41,0.175717126,0.151307799,0.102658729,0.086990435,0.046035725,0.02156045
0.4125,0.178663249,0.155420325,0.106267698,0.089519074,0.04770146,0.023264373
0.415,0.183369827,0.157228623,0.110209653,0.093550519,0.049663095,0.024683937
0.4175,0.188542364,0.159069327,0.114217696,0.096372211,0.051748103,0.025899797
0.42,0.192338068,0.164453018,0.117771589,0.098052059,0.053347357,0.026992607
0.4225,0.197677072,0.167111371,0.120687486,0.100243137,0.054467852,0.028043022
0.425,0.201802598,0.170207418,0.123364695,0.105403793,0.056196737,0.029131695
0.4275,0.20237262,0.17596212,0.125873815,0.107156533,0.058893362,0.030339248
0.43,0.20937738,0.179454428,0.127366303,0.108653441,0.061690482,0.031716638
0.4325,0.215442555,0.182211128,0.128625754,0.114067127,0.063936919,0.033230612
0.435,0.21956545,0.186353586,0.135643791,0.117787129,0.066047807,0.034792259
0.4375,0.221279182,0.190066832,0.140590075,0.119581739,0.06840173,0.036146399
0.44,0.223939743,0.192992317,0.143036364,0.12202397,0.070618857,0.037088229
0.4425,0.230013012,0.195808776,0.14537036,0.12488268,0.072275306,0.037958968
0.445,0.233896119,0.199103333,0.147808589,0.127028742,0.073602811,0.039215526
0.4475,0.235208761,0.203166448,0.150284456,0.128458478,0.075073453,0.040589176
0.45,0.237044658,0.205828057,0.152651625,0.129779848,0.07668649,0.041491376
0.4525,0.239614575,0.206646925,0.154860366,0.131839188,0.078166508,0.042045611
0.455,0.241884312,0.207511022,0.156934512,0.135459518,0.079453093,0.042864489
0.4575,0.243728448,0.209130891,0.159002159,0.138751172,0.080666627,0.044102278
0.46,0.245907515,0.211015647,0.161271231,0.140050716,0.081854561,0.045452501
0.4625,0.248721414,0.212852752,0.163586215,0.141001543,0.08297454,0.046592405
0.465,0.251800432,0.214639309,0.165481518,0.142494556,0.08401977,0.047397518
0.4675,0.254827724,0.216431054,0.166746102,0.143926759,0.085047715,0.048057683
0.47,0.257603842,0.218352469,0.167663865,0.144957315,0.086096669,0.048717513
0.4725,0.259952289,0.220493058,0.168612545,0.146119811,0.087149836,0.049359634
0.475,0.261929668,0.222753279,0.170073883,0.147892975,0.088183034,0.049976854
0.4775,0.263766664,0.224940872,0.172323133,0.149837134,0.089194044,0.05066218
0.48,0.265689406,0.22677289,0.174794566,0.151482195,0.090263348,0.051502438
0.4825,0.267884551,0.228097866,0.176889074,0.153093427,0.091475471,0.052467829
0.485,0.270429793,0.229546018,0.178901274,0.154996202,0.092831227,0.053498237
0.4875,0.272761316,0.231865437,0.181345318,0.15711199,0.094304235,0.054550679
0.49,0.274244441,0.234638475,0.18435598,0.159209964,0.09587687,0.055603943
0.4925,0.276076657,0.236967028,0.187896798,0.161260278,0.097535704,0.056782024
0.495,0.280096443,0.238884184,0.19151594,0.163402247,0.099267334,0.058268226
0.4975,0.282284397,0.241018525,0.194615231,0.165586994,0.101058359,0.059898716
0.5,0.282741882,0.243487637,0.197066135,0.167623639,0.102894432,0.06125148
0.5025,0.288594385,0.245937589,0.199168168,0.169584749,0.104736373,0.062261249
0.505,0.291337077,0.248257579,0.20113177,0.17182269,0.106522536,0.063249592
0.5075,0.295448328,0.250664219,0.203035512,0.174300856,0.108413603,0.064333963
0.51,0.300338767,0.253295096,0.204985256,0.176389907,0.110886601,0.065302303
0.5125,0.303915822,0.256113654,0.207146594,0.177971616,0.113899414,0.066068094
0.515,0.30757359,0.259036243,0.209552625,0.180894204,0.116712036,0.066857899
0.5175,0.310829873,0.261857647,0.212028031,0.186753452,0.118825974,0.067849145
0.52,0.312340847,0.264433013,0.214522678,0.183465525,0.120577611,0.068964254
0.5225,0.313378449,0.266936011,0.217481878,0.190358807,0.122339027,0.07010809
0.525,0.315410159,0.269501724,0.221296126,0.193580191,0.124001155,0.071304708
0.5275,0.317995938,0.271946269,0.225602224,0.194364462,0.125384333,0.072611655
0.53,0.320236668,0.274072162,0.231798632,0.195023026,0.126641115,0.074100911
0.5325,0.322253063,0.276290869,0.235755581,0.198634773,0.128041125,0.075831606
0.535,0.326810081,0.279249063,0.23720119,0.203612147,0.129790966,0.077699886
0.5375,0.332737447,0.282359318,0.240193322,0.205455286,0.132046265,0.079530156
0.54,0.334035012,0.284635055,0.24504902,0.206720062,0.134717752,0.081339278
0.5425,0.341107709,0.286383518,0.249392884,0.208854468,0.137549375,0.083283132
0.545,0.338462108,0.288971038,0.252306771,0.212018904,0.140549347,0.085477036
0.5475,0.340894526,0.292269058,0.254412665,0.215573529,0.143876081,0.087989424
0.55,0.350615268,0.295059039,0.257091644,0.218065313,0.147076186,0.090753325
0.5525,0.354456122,0.297608882,0.262358683,0.223425948,0.14984394,0.093517782
0.555,0.360530578,0.300192703,0.268004449,0.228540784,0.152450009,0.096042213
0.5575,0.362554181,0.302684731,0.269492737,0.225610001,0.155447697,0.098140139
0.56,0.364847776,0.304888375,0.276264398,0.23496668,0.159890625,0.100234402
0.5625,0.367614493,0.306537804,0.281041648,0.235862919,0.164378546,0.103736786
0.565,0.370393789,0.308215332,0.28554212,0.239940118,0.165076577,0.108507816
0.5675,0.37293418,0.313543209,0.286374535,0.242840677,0.172936695,0.111228468
0.57,0.375111076,0.318660535,0.29321312,0.247333604,0.176487072,0.11292158
0.5725,0.377551613,0.320753811,0.299973928,0.250794419,0.179059412,0.116312066
0.575,0.381174855,0.322927651,0.300160877,0.252573459,0.186486424,0.120102226
0.5775,0.386351746,0.325245957,0.301219776,0.258521822,0.190142349,0.123629474
0.58,0.390513017,0.32693402,0.304819759,0.260342533,0.192409979,0.12689235
0.5825,0.393029148,0.328235513,0.309318119,0.261538191,0.193556597,0.129436192
0.585,0.395274085,0.330043851,0.313528185,0.263767387,0.194524191,0.13126093
0.5875,0.397880427,0.332382951,0.316871881,0.26671508,0.196763552,0.132755997
0.59,0.400574166,0.33446231,0.319328117,0.269186541,0.200308551,0.134641828
0.5925,0.402502154,0.335931421,0.3213658,0.26927628,0.203956233,0.137920089
0.595,0.403633149,0.33705006,0.324015675,0.269144276,0.207126916,0.142125566
0.5975,0.405192999,0.338367679,0.327257786,0.274792451,0.209593844,0.145412284
0.6,0.407873076,0.340769105,0.329691079,0.281273995,0.211603737,0.147102838
0.6025,0.411018879,0.344018407,0.331670648,0.278239351,0.213379486,0.148120359
0.605,0.413978817,0.347175107,0.333798028,0.283671692,0.214962285,0.149280176
0.6075,0.416617231,0.349602205,0.336132204,0.286448354,0.216395409,0.150754754
0.61,0.41887726,0.35133299,0.338559293,0.286734425,0.217829132,0.152543405
0.6125,0.420629881,0.352540509,0.340655985,0.28816481,0.219413644,0.154414413
0.615,0.421799281,0.353672288,0.342039118,0.290490668,0.221176046,0.156108142
0.6175,0.422759207,0.355172807,0.343087642,0.292359275,0.223065403,0.157575066
0.62,0.424000169,0.356802394,0.344399264,0.293478899,0.224740905,0.15884607
0.6225,0.425505225,0.358061362,0.345902514,0.294093944,0.225833109,0.159952202
0.625,0.426999321,0.359029142,0.347201682,0.295057579,0.227143851,0.160924508
0.6275,0.428420087,0.360139582,0.348412451,0.297468842,0.230018387,0.16179821
