x,MeanCluster6,MeanCluster5,MeanCluster4,MeanCluster3,MeanCluster2,MeanCluster1
0.35,0,0,0,0,0,0
0.351,0,0.00296,0,0,0,0
0.352,0,0.00354,0,0,0,0
0.353,0,0.00246,0,0,0,0
0.354,0,0.00044,0,0,0,0
0.355,0,0.00463,0,0,0,0
0.356,0.01285,0.0269,0.001944,0.0024375,0,0
0.357,0.00405,0.01906,0.00014,0,0,0
0.358,0.0102,0.01975,0.000232,0,0,0
0.359,0.0185,0.02309,0.000228,0.0012875,0,0
0.36,0.03005,0.03381,0.00066,0.000475,0,0
0.361,0.04095,0.04318,0.002284,0.001475,0,0
0.362,0.04495,0.04879,0.006452,0.0027375,0.0008,0
0.363,0.03545,0.05209,0.00816,0.00315,0.000955556,0
0.364,0.0397,0.05195,0.00672,0.003425,0,0
0.365,0.0498,0.05818,0.007964,0.0050625,0,0
0.366,0.06445,0.07189,0.013476,0.010825,0.000255556,0
0.367,0.0609,0.07501,0.017024,0.0125,0.000233333,0
0.368,0.06015,0.07404,0.022072,0.0140375,0.002388889,0
0.369,0.06225,0.0722,0.024336,0.0163625,0.003388889,0
0.37,0.07035,0.08064,0.025564,0.0173375,0.000244444,0
0.371,0.0761,0.08903,0.029428,0.023125,0.001488889,0
0.372,0.0799,0.09459,0.034252,0.02865,0.005988889,0
0.373,0.08135,0.09362,0.03694,0.0267625,0.008633333,0
0.374,0.07765,0.09403,0.03846,0.0271,0.004277778,0
0.375,0.0781,0.09749,0.039936,0.0293125,0.004255556,0
0.376,0.08555,0.105,0.041032,0.0350375,0.009066667,0
0.377,0.0899,0.1046,0.044148,0.0371375,0.013388889,0.0007
0.378,0.09085,0.10564,0.046484,0.0381625,0.013844444,0
0.379,0.0907,0.1083,0.048372,0.0386625,0.012044444,0
0.38,0.10195,0.11403,0.052128,0.04145,0.011666667,0
0.381,0.1037,0.11756,0.052556,0.043475,0.014322222,0
0.382,0.10225,0.11946,0.052832,0.0453375,0.017044444,0
0.383,0.1043,0.11968,0.057424,0.0477625,0.018577778,0.0032
0.384,0.1007,0.12105,0.059408,0.049225,0.0186,0.0023
0.385,0.1009,0.12334,0.060848,0.0510375,0.020044444,0.0025
0.386,0.10925,0.12667,0.062512,0.053825,0.025011111,0.0065
0.387,0.11315,0.1288,0.064252,0.0549375,0.025288889,0.0101
0.388,0.1139,0.13224,0.066908,0.05645,0.024977778,0.0093
0.389,0.1124,0.13656,0.07008,0.0582125,0.024355556,0.0044
0.39,0.1159,0.13591,0.069432,0.057775,0.022688889,0.0013
0.391,0.1199,0.13723,0.070528,0.0600875,0.023455556,0.0023
0.392,0.123,0.13954,0.072404,0.0627,0.025433333,0.0048
0.393,0.12165,0.14158,0.073752,0.061375,0.027122222,0.005
0.394,0.12025,0.14222,0.074216,0.0627875,0.028522222,0.0086
0.395,0.12215,0.1431,0.075172,0.0647125,0.029411111,0.0117
0.396,0.13045,0.14519,0.077476,0.066125,0.029511111,0.012
0.397,0.1298,0.14813,0.079604,0.0692875,0.031233333,0.0163
0.398,0.1293,0.1512,0.081744,0.0708125,0.032577778,0.0143
0.399,0.1301,0.15427,0.083904,0.0705,0.033344444,0.0059
0.4,0.1342,0.15564,0.085476,0.0706375,0.033566667,0.012
