x,01_Soil,02_Dry_bush,03_Soil,04_Very_green_bush,05_Soil_with_crust,06_Soil_without_crust,07_Desert_pink_flowers,08_Brown_thorns,09_Very_dry_grass,10_Mix_of_soil_and_crust,11_Dense_desert_pink_flowers,12_Soil_with_crust,13_Rock_and_stones,14_Small_stones,15_Green-light_blue_bush,16_Very_dry_grass,17_Greenish_thorns,18_Bush,19_Sparse_dry_grass,20_Soil_with_crust,21_Acacia
0.4003 ,0.056100000,0.085975000,0.205000000,0.050866667,0.200466667,0.144075000,0.083900000,0.052766667,0.062433333,0.156533333,0.049600000,0.203033333,0.219250000,0.408575000,0.064800000,0.045333333,0.029200000,0.093450000,0.067000000,0.181600000,0.048460000
0.4018 ,0.056766667,0.086300000,0.206033333,0.051100000,0.201533333,0.144975000,0.084700000,0.053033333,0.063266667,0.157666667,0.050300000,0.204400000,0.220450000,0.408925000,0.064933333,0.045933333,0.030133333,0.093925000,0.067766667,0.182566667,0.048660000
0.4032 ,0.057400000,0.086600000,0.207166667,0.051466667,0.202633333,0.146000000,0.085600000,0.053400000,0.064166667,0.158766667,0.051033333,0.205666667,0.221700000,0.409725000,0.065166667,0.046633333,0.031266667,0.094500000,0.068633333,0.183666667,0.048900000
0.4047 ,0.058266667,0.087100000,0.208566667,0.052000000,0.204133333,0.147250000,0.086733333,0.053900000,0.065233333,0.160066667,0.051900000,0.207266667,0.223150000,0.410725000,0.065600000,0.047433333,0.032633333,0.095200000,0.069766667,0.185200000,0.049240000
0.4061 ,0.059133333,0.087575000,0.210000000,0.052533333,0.205800000,0.148625000,0.088066667,0.054500000,0.066333333,0.161500000,0.052900000,0.208766667,0.224625000,0.412025000,0.066033333,0.048400000,0.034133333,0.096025000,0.070966667,0.186800000,0.049640000
0.4076 ,0.059900000,0.087925000,0.211133333,0.053033333,0.206933333,0.149625000,0.089066667,0.054900000,0.067266667,0.162533333,0.053733333,0.210000000,0.225750000,0.412925000,0.066400000,0.049166667,0.035666667,0.096625000,0.072000000,0.187966667,0.049900000
0.4091 ,0.060800000,0.088425000,0.212566667,0.053600000,0.208433333,0.150900000,0.090300000,0.055433333,0.068333333,0.163866667,0.054700000,0.211566667,0.227175000,0.413975000,0.066900000,0.050066667,0.037300000,0.097350000,0.073200000,0.189466667,0.050240000
0.4105 ,0.061600000,0.088775000,0.213733333,0.054133333,0.209500000,0.151850000,0.091300000,0.055766667,0.069300000,0.164933333,0.055566667,0.212766667,0.228225000,0.414650000,0.067300000,0.050900000,0.039033333,0.098025000,0.074233333,0.190533333,0.050560000
0.4120 ,0.062566667,0.089325000,0.215266667,0.054833333,0.211100000,0.153225000,0.092600000,0.056300000,0.070433333,0.166300000,0.056633333,0.214333333,0.229725000,0.415775000,0.067966667,0.051900000,0.041000000,0.098825000,0.075466667,0.192066667,0.050940000
0.4134 ,0.063400000,0.089725000,0.216400000,0.055466667,0.212200000,0.154175000,0.093600000,0.056733333,0.071400000,0.167333333,0.057500000,0.215533333,0.230800000,0.416575000,0.068466667,0.052800000,0.042900000,0.099500000,0.076533333,0.193166667,0.051260000
