run_index,parent_run_index,run_overrides,pixel_index,source,abundance_rmse,reconstruction_rmse,endmember_1,endmember_2,endmember_3,endmember_4,endmember_5,endmember_6
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",283,true,0.000000,0.044500,0.002778,0.795063,0.065737,0.000050,0.122901,0.013471
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",283,gbm,0.193653,0.044423,0.328169,0.492159,0.176105,0.000078,0.000030,0.003459
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",283,kan,0.079093,0.044770,0.129608,0.717269,0.040456,0.065618,0.021366,0.025684
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",283,mlp,0.087612,0.045250,0.144181,0.687176,0.112549,0.033616,0.017906,0.004572
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",283,sunsal,0.206711,0.044413,0.345823,0.469807,0.193420,0.002385,-0.004265,-0.007171
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",283,vpgdu,0.212068,0.044519,0.352159,0.454267,0.193575,0.000000,0.000000,0.000000
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",7932,true,0.000000,0.046094,0.635489,0.051422,0.119489,0.026339,0.000518,0.166744
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",7932,gbm,0.183795,0.046053,0.356382,0.362490,0.000000,0.000000,0.000156,0.280972
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",7932,kan,0.063641,0.047213,0.613172,0.104390,0.058159,0.072451,0.079377,0.072451
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",7932,mlp,0.072034,0.048537,0.665683,0.129475,0.024390,0.023593,0.081988,0.074870
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",7932,sunsal,0.187083,0.046046,0.354106,0.370262,-0.002650,-0.002073,-0.002282,0.282638
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",7932,vpgdu,0.177691,0.046122,0.366437,0.348022,0.000000,0.000000,0.000000,0.285541
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",8761,true,0.000000,0.046698,0.224026,0.027807,0.016608,0.369681,0.356953,0.004925
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",8761,gbm,0.161284,0.045987,0.028403,0.205402,0.000556,0.489635,0.129718,0.146287
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",8761,kan,0.100332,0.048194,0.083660,0.103711,0.084729,0.362782,0.235606,0.129512
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",8761,mlp,0.141169,0.052095,0.113238,0.083680,0.047355,0.386745,0.133664,0.235318
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",8761,sunsal,0.159988,0.045944,0.030775,0.206116,0.000630,0.497307,0.130813,0.134360
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",8761,vpgdu,0.219969,0.047694,0.040893,0.221592,0.000000,0.433172,0.001640,0.302704
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",9795,true,0.000000,0.045360,0.000001,0.905066,0.000000,0.000137,0.060315,0.034481
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",9795,gbm,0.067426,0.045221,0.019881,0.842720,0.000402,0.135340,0.000000,0.001657
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",9795,kan,0.096272,0.046222,0.118792,0.726799,0.059834,0.063880,0.024991,0.005703
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",9795,mlp,0.069401,0.045233,0.100720,0.800782,0.035547,0.052400,0.005240,0.005312
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",9795,sunsal,0.073335,0.045219,0.027170,0.834898,-0.001602,0.145768,-0.002289,-0.003945
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",9795,vpgdu,0.057083,0.046585,0.039102,0.819861,0.000000,0.080376,0.000000,0.060660
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",1184,true,0.000000,0.043911,0.039362,0.001409,0.003647,0.326290,0.253017,0.376276
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",1184,gbm,0.030948,0.043900,0.000472,0.000349,0.000376,0.386780,0.258773,0.353250
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",1184,kan,0.104639,0.044698,0.048238,0.040069,0.082136,0.140403,0.386908,0.302245
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",1184,mlp,0.080130,0.044205,0.035409,0.033085,0.042524,0.203267,0.379382,0.306334
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",1184,sunsal,0.040683,0.043895,-0.004060,-0.005401,-0.000911,0.406131,0.265883,0.338358
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",1184,vpgdu,0.064096,0.044587,0.003022,0.000000,0.035585,0.350171,0.140121,0.471100
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",7993,true,0.000000,0.044448,0.001189,0.609965,0.133754,0.000872,0.000000,0.254221
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",7993,gbm,0.109080,0.044423,0.048683,0.427168,0.286640,0.070142,0.000026,0.167341
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",7993,kan,0.106155,0.050751,0.096500,0.580410,0.073917,0.108710,0.077238,0.063225
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",7993,mlp,0.129444,0.047401,0.114402,0.441692,0.229259,0.119518,0.028963,0.066167
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",7993,sunsal,0.109126,0.044416,0.049135,0.429220,0.286622,0.070425,0.001349,0.163250
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",7993,vpgdu,0.117822,0.045626,0.016765,0.487648,0.178012,0.211246,0.000000,0.106329
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",3235,true,0.000000,0.046506,0.000062,0.512608,0.031266,0.004055,0.036125,0.415885
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",3235,gbm,0.050072,0.048648,0.063917,0.437198,0.002138,0.053906,0.000694,0.442148
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",3235,kan,0.245626,0.046611,0.331717,0.117300,0.060028,0.177469,0.133048,0.180439
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",3235,mlp,0.241184,0.058025,0.325753,0.066570,0.016084,0.188946,0.076099,0.326549
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",3235,sunsal,0.160058,0.045554,0.008292,0.387741,-0.000474,0.340299,-0.001522,0.265664
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",3235,vpgdu,0.054914,0.053904,0.000000,0.437643,0.000000,0.070296,0.000000,0.492061
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",5911,true,0.000000,0.046438,0.149768,0.083240,0.472957,0.001274,0.000011,0.292751
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",5911,gbm,0.367202,0.045517,0.142919,0.020614,0.000154,0.691848,0.142222,0.002243
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",5911,kan,0.261543,0.046404,0.083808,0.095618,0.099718,0.434746,0.195049,0.091061
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",5911,mlp,0.207310,0.048213,0.109305,0.085502,0.160433,0.277558,0.236540,0.130662
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",5911,sunsal,0.367982,0.045513,0.144522,0.020749,-0.000122,0.692668,0.143085,-0.000902
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",5911,vpgdu,0.351922,0.046182,0.162834,0.000000,0.000281,0.616250,0.220635,0.000000
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",2352,true,0.000000,0.043497,0.411067,0.003839,0.108163,0.373641,0.068142,0.035147
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",2352,gbm,0.236868,0.043459,0.100418,0.402476,0.000058,0.215613,0.037432,0.244004
