run_index,parent_run_index,run_overrides,stage,condition_number,mean_abs_offdiag,max_abs_offdiag,min_offdiag,max_offdiag
1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
9,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
10,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
11,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
14,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
15,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
16,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
17,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
18,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=inf",raw,1727.744849,0.997825,0.999832,0.992636,0.999832
