seed,run_index,parent_run_index,run_overrides,metric,sunsal,vpgdu,gbm,mlp,kan
0,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.127125,0.134175,0.124676,0.130731,0.130130
0,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.044465,0.044978,0.044476,0.045988,0.045283
1,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.125734,0.131046,0.123891,0.130190,0.128028
1,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.044544,0.044998,0.044555,0.045832,0.045103
2,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.126441,0.131303,0.124244,0.129190,0.129974
2,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.044549,0.044969,0.044562,0.045597,0.045295
3,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.125126,0.133716,0.122953,0.127545,0.128403
3,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.044640,0.045104,0.044654,0.045914,0.045334
4,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.123755,0.131607,0.121589,0.131919,0.129142
4,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.044479,0.044931,0.044490,0.045736,0.045073
0,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0.148438,0.135467,0.141659,0.133632,0.135515
0,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0.045232,0.047185,0.045446,0.047991,0.046274
