seed,run_index,parent_run_index,run_overrides,metric,dominance,sunsal,vpgdu,gbm,mlp,kan
0,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.139388,0.141073,0.138145,0.121938,0.126578
0,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.114371,0.124763,0.110433,0.124823,0.118867
0,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.132189,0.140957,0.130338,0.149451,0.151020
0,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044433,0.045161,0.044445,0.046310,0.045318
0,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044495,0.044920,0.044504,0.045725,0.045206
0,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044452,0.044856,0.044466,0.046046,0.045369
1,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.141129,0.143034,0.140114,0.127321,0.122434
1,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.106884,0.114066,0.103946,0.115190,0.118080
1,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.134686,0.141666,0.133178,0.153532,0.147683
1,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044525,0.044978,0.044537,0.045665,0.045020
1,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044567,0.044980,0.044575,0.045695,0.045154
1,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044529,0.045050,0.044543,0.046231,0.045115
2,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.141129,0.144318,0.140312,0.124590,0.120902
2,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.108737,0.117277,0.104996,0.121229,0.125508
2,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.137302,0.138921,0.135549,0.146851,0.146734
2,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044536,0.044992,0.044547,0.045768,0.045239
2,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044554,0.044978,0.044565,0.045421,0.045282
2,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044556,0.044925,0.044575,0.045710,0.045384
3,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.144221,0.152493,0.143537,0.128688,0.124821
3,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.107194,0.116427,0.103747,0.119438,0.121582
3,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.128613,0.136957,0.126139,0.138839,0.142898
3,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044687,0.045188,0.044699,0.045955,0.045357
3,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044596,0.045008,0.044607,0.045659,0.045247
3,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044659,0.045166,0.044679,0.046291,0.045451
4,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.140515,0.144753,0.139867,0.128762,0.125373
4,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.109842,0.120155,0.106767,0.118465,0.120713
4,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.127321,0.135723,0.124681,0.154678,0.145655
4,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044445,0.044936,0.044457,0.045709,0.044945
4,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044479,0.044924,0.044489,0.045604,0.045096
4,1,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044513,0.044936,0.044525,0.045987,0.045167
0,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.169003,0.142763,0.162161,0.124068,0.128639
0,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.120863,0.122736,0.114421,0.127880,0.127781
0,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.166399,0.147841,0.158952,0.153033,0.155307
0,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045269,0.047919,0.045600,0.048941,0.046438
0,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045213,0.046530,0.045323,0.047125,0.046104
0,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045221,0.047482,0.045483,0.048405,0.046384
1,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.173413,0.142804,0.166872,0.130900,0.127105
1,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.119886,0.119390,0.115529,0.120826,0.122109
1,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.161746,0.143641,0.154901,0.152785,0.150713
1,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045336,0.047732,0.045595,0.048421,0.047052
1,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045251,0.046747,0.045426,0.047024,0.046189
1,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045262,0.049548,0.045484,0.048065,0.046866
2,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.175078,0.145738,0.169568,0.130933,0.127912
2,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.124479,0.124061,0.118577,0.118398,0.127857
2,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.156931,0.135567,0.148602,0.139913,0.138161
2,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045315,0.047660,0.045575,0.047902,0.046931
2,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045304,0.046740,0.045433,0.046727,0.046391
2,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045305,0.047824,0.045645,0.047861,0.047034
3,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.180252,0.151231,0.172962,0.127791,0.127109
3,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.130469,0.126467,0.122283,0.128275,0.126866
3,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.163334,0.140211,0.155998,0.148725,0.151562
3,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045377,0.048069,0.045725,0.048507,0.046855
3,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045371,0.046826,0.045509,0.047212,0.046341
3,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045418,0.047947,0.045753,0.048041,0.046766
4,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0,0.172361,0.147036,0.166872,0.124660,0.124219
4,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,1,0.130091,0.121845,0.123284,0.123118,0.124140
4,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,2,0.160307,0.147479,0.153795,0.143708,0.143674
4,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0,0.045269,0.047872,0.045533,0.047706,0.046710
4,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,1,0.045248,0.046641,0.045365,0.046636,0.046261
4,2,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,2,0.045213,0.047623,0.045544,0.047766,0.046619
0,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.137930,0.144466,0.136859,0.121097,0.122608
0,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.112151,0.124762,0.109226,0.120490,0.123336
0,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.133644,0.134283,0.131730,0.138947,0.141646
0,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044469,0.044909,0.044477,0.045381,0.044872
0,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044533,0.044956,0.044547,0.045450,0.045032
0,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044543,0.044987,0.044559,0.045753,0.045106
1,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0,0.137318,0.138050,0.136329,0.120743,0.117250
1,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,1,0.116106,0.123135,0.113747,0.121666,0.121595
1,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,2,0.128955,0.135224,0.127006,0.144804,0.142516
1,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0,0.044519,0.044974,0.044530,0.045698,0.045059
1,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,1,0.044474,0.044882,0.044483,0.045663,0.045107
1,3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,2,0.044597,0.045100,0.044616,0.045973,0.045329
