run_index,run_overrides,metric,sunsal,vpgdu,gbm,mlp,kan
1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.1256±0.0013,0.1324±0.0015,0.1235±0.0012,0.1299±0.0017,0.1291±0.0009
2,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0.1508±0.0031,0.1354±0.0021,0.1443±0.0027,0.1313±0.0026,0.1320±0.0025
3,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.1298±0.0030,0.1352±0.0030,0.1279±0.0031,0.1272±0.0018,0.1274±0.0024
4,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0.1587±0.0015,0.1399±0.0025,0.1524±0.0015,0.1276±0.0021,0.1300±0.0013
5,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.1385±0.0020,0.1418±0.0014,0.1376±0.0020,0.1090±0.0018,0.1097±0.0016
6,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0.1738±0.0026,0.1473±0.0016,0.1676±0.0028,0.1086±0.0018,0.1099±0.0015
7,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.0565±0.0011,0.0754±0.0040,0.0563±0.0010,0.0897±0.0083,0.0716±0.0020
8,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.1218±0.0018,0.0821±0.0020,0.1149±0.0018,0.0901±0.0109,0.0760±0.0023
9,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.0588±0.0016,0.0754±0.0015,0.0586±0.0015,0.0861±0.0076,0.0751±0.0021
10,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.1308±0.0014,0.0881±0.0028,0.1234±0.0015,0.0897±0.0071,0.0785±0.0020
11,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.0694±0.0008,0.0797±0.0034,0.0691±0.0008,0.0977±0.0093,0.0731±0.0015
12,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",abundance_rmse,0.1501±0.0020,0.0921±0.0011,0.1415±0.0017,0.0975±0.0116,0.0751±0.0021
13,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.0050±0.0001,0.0545±0.0041,0.0055±0.0001,0.0839±0.0043,0.0298±0.0049
14,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.1156±0.0010,0.0682±0.0029,0.1061±0.0008,0.0797±0.0098,0.0353±0.0045
15,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.0056±0.0001,0.0551±0.0032,0.0061±0.0001,0.0760±0.0094,0.0282±0.0062
16,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.1264±0.0023,0.0698±0.0023,0.1159±0.0026,0.0774±0.0123,0.0357±0.0041
17,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",abundance_rmse,0.0066±0.0001,0.0557±0.0026,0.0072±0.0001,0.0857±0.0134,0.0228±0.0060
18,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=inf",abundance_rmse,0.1456±0.0012,0.0722±0.0017,0.1335±0.0012,0.0955±0.0096,0.0315±0.0043
1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.0445±0.0001,0.0450±0.0001,0.0445±0.0001,0.0458±0.0002,0.0452±0.0001
2,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0.0453±0.0001,0.0474±0.0002,0.0455±0.0001,0.0476±0.0003,0.0465±0.0002
3,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.0445±0.0000,0.0450±0.0001,0.0445±0.0000,0.0455±0.0002,0.0451±0.0001
4,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0.0453±0.0000,0.0476±0.0002,0.0456±0.0000,0.0471±0.0006,0.0465±0.0003
5,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.0443±0.0000,0.0448±0.0001,0.0444±0.0000,0.0450±0.0001,0.0447±0.0001
6,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0.0453±0.0000,0.0481±0.0003,0.0456±0.0001,0.0467±0.0002,0.0468±0.0004
7,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.0141±0.0000,0.0163±0.0026,0.0141±0.0000,0.0169±0.0006,0.0161±0.0005
8,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.0144±0.0000,0.0194±0.0010,0.0151±0.0001,0.0184±0.0006,0.0182±0.0005
9,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.0141±0.0000,0.0143±0.0000,0.0141±0.0000,0.0164±0.0002,0.0162±0.0003
10,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.0144±0.0000,0.0221±0.0017,0.0152±0.0000,0.0184±0.0007,0.0182±0.0006
11,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.0140±0.0000,0.0146±0.0008,0.0140±0.0000,0.0149±0.0002,0.0154±0.0004
12,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",reconstruction_rmse,0.0145±0.0000,0.0208±0.0008,0.0154±0.0000,0.0181±0.0006,0.0185±0.0007
13,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.0000±0.0000,0.0062±0.0046,0.0005±0.0000,0.0091±0.0004,0.0062±0.0010
14,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.0017±0.0000,0.0133±0.0009,0.0049±0.0001,0.0128±0.0007,0.0098±0.0010
15,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.0000±0.0000,0.0062±0.0026,0.0005±0.0000,0.0088±0.0008,0.0056±0.0010
16,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.0018±0.0000,0.0152±0.0018,0.0053±0.0001,0.0118±0.0011,0.0102±0.0005
17,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=inf",reconstruction_rmse,0.0000±0.0000,0.0036±0.0038,0.0006±0.0000,0.0045±0.0005,0.0052±0.0010
18,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=inf",reconstruction_rmse,0.0020±0.0000,0.0148±0.0002,0.0061±0.0000,0.0110±0.0010,0.0107±0.0004
